RAL Code,LRV
095 80 40,"60,13"
095 80 50,"58,92"
095 80 60,"57,07"
095 80 70,"58,08"
095 80 80,"54,94"
095 85 10,"67,59"
095 85 20,"68,19"
095 85 30,"67,46"
095 85 40,"68,17"
095 85 50,"67,18"
095 90 10,"78,29"
095 90 20,"77,98"
095 90 30,"77,73"
095 90 40,"76,54"
095 90 50,"78,60"
095 90 59,"78,20"
095 93 05,"83,01"
100 20 05,"6,66"
100 20 10,"6,55"
100 30 05,"8,99"
100 30 10,"8,97"
100 30 20,"9,36"
100 40 05,"14,02"
100 40 10,"14,10"
100 40 20,"13,98"
100 40 30,"14,27"
100 40 40,"14,43"
100 50 05,"21,08"
100 50 10,"20,91"
100 50 20,"21,12"
100 50 30,"20,48"
100 50 40,"21,01"
100 50 50,"20,90"
100 60 05,"30,79"
100 60 10,"29,39"
100 60 20,"30,67"
100 60 30,"29,92"
100 60 40,"30,47"
100 60 50,"30,49"
100 60 60,"28,75"
100 70 05,"43,81"
100 70 10,"43,23"
100 70 20,"43,06"
100 70 30,"42,38"
100 70 40,"43,29"
100 70 50,"41,45"
100 70 60,"41,09"
100 80 05,"58,08"
100 80 10,"58,65"
100 80 20,"60,03"
100 80 30,"58,24"
100 80 40,"58,59"
100 80 50,"57,87"
100 80 60,"59,32"
100 80 70,"58,52"
100 80 80,"58,70"
100 85 05,"67,58"
100 85 10,"67,18"
100 85 20,"66,69"
100 85 30,"67,39"
100 90 05,"77,91"
100 90 10,"78,42"
100 90 20,"78,23"
100 90 30,"76,68"
100 90 40,"78,14"
100 90 50,"76,50"
100 93 05,"84,21"
110 20 10,"6,33"
110 30 10,"9,44"
110 30 20,"9,70"
110 40 10,"14,32"
110 40 20,"13,56"
110 40 30,"14,27"
110 40 40,"14,40"
110 50 10,"20,97"
110 50 20,"20,83"
110 50 30,"20,72"
110 50 40,"20,68"
110 50 50,"20,51"
110 50 55,"21,14"
110 60 10,"30,06"
110 60 20,"29,67"
110 60 30,"30,58"
110 60 40,"29,89"
110 60 50,"30,07"
110 60 60,"31,12"
110 60 65,"31,34"
110 70 10,"43,05"
110 70 20,"42,74"
110 70 30,"41,66"
110 70 40,"42,62"
110 70 50,"43,26"
110 70 60,"42,43"
110 70 70,"41,09"
110 70 77,"40,47"
110 80 10,"57,28"
110 80 20,"58,77"
110 80 30,"58,58"
110 80 40,"58,63"
110 80 50,"58,97"
110 80 60,"58,18"
110 80 70,"58,25"
110 85 10,"66,13"
110 85 20,"66,18"
110 85 30,"67,02"
110 85 40,"66,02"
110 85 50,"65,19"
110 90 05,"75,83"
110 90 10,"78,26"
110 90 20,"77,53"
110 90 30,"76,70"
110 90 35,"76,20"
110 90 40,"77,01"
110 92 05,"79,96"
110 93 05,"82,56"
110 96 02,"89,72"
120 20 05,"6,62"
120 20 10,"6,21"
120 30 05,"9,08"
120 30 10,"9,10"
120 30 20,"9,18"
120 40 05,"13,92"
120 40 10,"13,77"
120 40 20,"13,79"
120 40 30,"14,24"
120 40 40,"14,11"
120 50 05,"21,03"
120 50 10,"20,84"
120 50 20,"20,86"
120 50 30,"20,51"
120 50 40,"21,15"
120 50 50,"20,62"
120 60 05,"31,63"
120 60 10,"30,08"
120 60 20,"30,21"
120 60 30,"30,71"
120 60 40,"30,74"
120 60 50,"30,57"
120 60 60,"29,75"
120 60 63,"30,37"
120 70 05,"43,16"
120 70 10,"42,62"
120 70 20,"42,45"
120 70 30,"43,31"
120 70 40,"43,18"
120 70 50,"42,83"
120 70 60,"40,88"
120 70 70,"42,36"
120 70 75,"40,23"
120 80 05,"58,68"
120 80 10,"57,43"
120 80 20,"58,97"
120 80 30,"58,00"
120 80 40,"58,54"
120 80 50,"58,33"
120 80 60,"58,34"
120 85 05,"66,70"
120 85 10,"66,26"
120 85 20,"66,69"
120 85 30,"66,26"
120 90 05,"76,45"
120 90 10,"78,61"
120 90 20,"77,25"
120 90 30,"77,62"
120 93 05,"82,67"
130 20 10,"6,36"
130 30 10,"9,33"
130 30 20,"9,20"
130 40 10,"14,46"
130 40 20,"13,65"
130 40 30,"13,98"
130 50 10,"20,74"
130 50 20,"21,16"
130 50 30,"20,83"
130 50 40,"20,81"
130 50 50,"20,57"
130 60 10,"30,49"
130 60 20,"30,32"
130 60 30,"30,18"
130 60 40,"30,19"
130 60 50,"30,19"
130 60 60,"29,95"
130 70 10,"43,34"
130 70 20,"43,49"
130 70 30,"42,80"
130 70 40,"42,55"
130 70 50,"42,98"
130 70 60,"42,56"
130 80 10,"58,42"
130 80 20,"58,01"
130 80 30,"58,08"
130 80 40,"58,55"
130 80 50,"58,20"
130 85 05,"66,45"
130 85 10,"66,85"
130 85 20,"66,34"
130 85 30,"67,30"
130 90 05,"76,26"
130 90 10,"75,89"
130 90 20,"77,19"
130 92 05,"80,30"
130 93 05,"82,92"
140 20 05,"6,34"
140 20 10,"6,25"
140 20 20,"6,56"
140 30 05,"9,66"
140 30 10,"9,50"
140 30 20,"9,65"
140 30 30,"9,50"
140 30 40,"9,23"
140 40 05,"14,53"
140 40 10,"14,12"
140 40 20,"13,67"
140 40 30,"13,92"
140 40 40,"14,49"
140 40 50,"14,60"
140 50 05,"20,97"
140 50 10,"20,85"
140 50 20,"20,65"
140 50 30,"20,97"
140 50 40,"20,42"
140 50 50,"20,99"
140 50 60,"20,83"
140 60 05,"30,27"
140 60 10,"29,78"
140 60 20,"30,94"
140 60 30,"30,95"
140 60 40,"30,72"
140 60 50,"30,11"
140 60 60,"30,29"
140 60 70,"29,72"
140 70 05,"42,45"
140 70 10,"41,98"
140 70 20,"42,77"
140 70 30,"42,60"
140 70 40,"43,14"
140 70 50,"42,64"
140 70 60,"42,24"
140 80 05,"58,85"
140 80 10,"58,10"
140 80 20,"57,99"
140 80 30,"57,73"
140 80 40,"57,59"
140 85 05,"66,94"
140 85 10,"67,46"
140 85 20,"67,40"
140 85 30,"65,95"
140 90 05,"77,65"
140 90 10,"77,87"
140 93 05,"83,74"
150 20 10,"6,59"
